Commune,Total employed population,of which: Wage-earners,of which: Non-wage-earners,Unemployed,Active population,Unemployment rate (in %),Year
Grand-Duche de Luxembourg,236100,215430,20670,18185,254285,7.15142458265332,2016
Canton Capellen,18380,16500,1880,975,19355,5.03745802118316,2016
Dippach,1790,1640,150,91,1881,4.83785220627326,2016
Garnich,870,780,90,27,897,3.01003344481605,2016
Hobscheid,1470,1350,120,66,1536,4.296875,2016
Kaerjeng,4160,3840,320,246,4406,5.58329550612801,2016
Kehlen,2160,1900,260,76,2236,3.39892665474061,2016
Koerich,1030,900,130,35,1065,3.28638497652582,2016
Kopstal,1330,1130,200,70,1400,5,2016
Mamer,3150,2780,370,206,3356,6.13825983313468,2016
Septfontaines,370,320,50,30,400,7.5,2016
Steinfort,2050,1860,190,128,2178,5.87695133149679,2016
Canton Esch,70630,66530,4100,6692,77322,8.65471663950751,2016
Bettembourg,4350,4040,310,278,4628,6.00691443388073,2016
Differdange,10500,10070,430,1218,11718,10.3942652329749,2016
Dudelange,8360,7880,480,694,9054,7.66512038877844,2016
Esch-sur-Alzette,13760,13040,720,1938,15698,12.3455217225124,2016
Frisange,2000,1840,160,77,2077,3.70727010110737,2016
Kayl,3710,3510,200,337,4047,8.32715591796392,2016
Leudelange,1150,1010,140,51,1201,4.24646128226478,2016
Mondercange,2720,2460,260,145,2865,5.06108202443281,2016
P?tange,7420,7070,350,670,8090,8.28182941903585,2016
Reckange-sur-Mess,980,850,130,30,1010,2.97029702970297,2016
Roeser,2800,2550,250,133,2933,4.5346062052506,2016
Rumelange,2160,2060,100,258,2418,10.6699751861042,2016
Sanem,6640,6270,370,478,7118,6.71536948581062,2016
Schifflange,4080,3880,200,385,4465,8.62262038073908,2016
Canton Luxembourg,66980,60080,6900,4954,71934,6.88686851836406,2016
Bertrange,3010,2650,360,163,3173,5.13709423258746,2016
Contern,1420,1260,160,72,1492,4.82573726541555,2016
Hesperange,6170,5560,610,359,6529,5.49854495328534,2016
Luxembourg,42340,38160,4180,3636,45976,7.9084739864277,2016
Niederanven,1920,1600,320,76,1996,3.80761523046092,2016
Sandweiler,1390,1250,140,57,1447,3.93918451969592,2016
Schuttrange,1440,1270,170,63,1503,4.19161676646707,2016
Steinsel,1970,1760,210,88,2058,4.27599611273081,2016
Strassen,3240,2900,340,217,3457,6.2771188892103,2016
Walferdange,3120,2800,320,186,3306,5.62613430127042,2016
Weiler-la-Tour,960,870,90,37,997,3.7111334002006,2016
Canton Mersch,13560,12520,1040,752,14312,5.25433202906652,2016
Bissen,1330,1250,80,79,1409,5.60681334279631,2016
Boevange-sur-Attert,1030,930,100,40,1070,3.73831775700935,2016
Colmar-Berg,980,930,50,72,1052,6.84410646387833,2016
Fischbach,590,530,60,20,610,3.27868852459016,2016
Heffingen,580,520,60,20,600,3.33333333333333,2016
Larochette,960,890,70,72,1032,6.97674418604651,2016
Lintgen,1310,1220,90,79,1389,5.68754499640029,2016
Lorentzweiler,1480,1350,130,65,1545,4.20711974110032,2016
Mersch,3950,3700,250,241,4191,5.75041756144118,2016
Nommern,630,550,80,37,667,5.5472263868066,2016
Tuntange,720,650,70,27,747,3.6144578313253,2016
Canton Clervaux,7650,6670,980,572,8222,6.95694478229141,2016
Clervaux,2150,1900,250,206,2356,8.74363327674024,2016
Parc Hosingen,1500,1350,150,93,1593,5.83804143126177,2016
Troisvierges,1340,1200,140,100,1440,6.94444444444444,2016
Weiswampach,790,680,110,68,858,7.92540792540793,2016
Wincrange,1870,1540,330,105,1975,5.31645569620253,2016
Canton Diekirch,13530,12460,1070,1183,14713,8.04050839393734,2016
Bettendorf,1140,1050,90,86,1226,7.01468189233279,2016
Bourscheid,730,660,70,76,806,9.42928039702233,2016
Diekirch,2790,2580,210,265,3055,8.67430441898527,2016
Erpeldange-sur-Sure,1030,940,90,61,1091,5.59120073327223,2016
Ettelbruck,3470,3220,250,416,3886,10.7050952135872,2016
Feulen,880,810,70,42,922,4.55531453362256,2016
Mertzig,920,860,60,50,970,5.15463917525773,2016
